Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
MH0439_GL0140099  [gene]  locus=scaffold65061_2:13742:14947:- [Complete] codon-table.11	173212	266353	126493	121418	131543	12188.7	79126.8
MH0441_GL0161345  [gene]  locus=scaffold113549_1:4513:4845:- [Complete] codon-table.11	6245.15	NA	NA	8735.94	NA	NA	NA
MH0442_GL0171854  [gene]  locus=scaffold142164_1:518:2449:+ [Complete] codon-table.11	15072.5	12749.9	10954.4	17092.3	62450.8	11528.2	16196.5
MH0445_GL0073145  [gene]  locus=C1678367_1:1:543:- [Lack both ends] codon-table.11	27099.1	18036	10340.5	3947.28	31473.1	NA	4876.17
MH0448_GL0015869  [gene]  locus=scaffold178940_2:286:1452:+ [Complete] codon-table.11	72397.2	15069.5	67520.5	49790.7	NA	94498.8	71583.6
MH0448_GL0017933  [gene]  locus=scaffold101774_1:2:1132:+ [Lack 5'-end] codon-table.11	NA	8272.11	NA	10107.1	NA	NA	NA
MH0448_GL0107970  [gene]  locus=scaffold112246_14:2396:3589:+ [Complete] codon-table.11	NA	42555.4	14531.5	8556.7	28654.2	295968	23208.9
MH0450_GL0212819  [gene]  locus=scaffold51235_15:1324:2703:- [Complete] codon-table.11	NA	7458.46	5478.95	7884.33	7444.92	NA	NA
MH0453_GL0052894  [gene]  locus=scaffold30293_4:3:791:+ [Lack both ends] codon-table.11	NA	NA	NA	NA	9991.19	NA	NA
MH0453_GL0099867  [gene]  locus=scaffold61673_1:714:914:- [Lack 5'-end] codon-table.11	NA	NA	NA	9224.8	NA	NA	NA
MH0454_GL0190916  [gene]  locus=scaffold2514_1:1:567:+ [Lack 5'-end] codon-table.11	NA	NA	NA	2591.32	NA	1655.84	NA
MH0456_GL0115094  [gene]  locus=scaffold31881_5:1554:2900:- [Lack 5'-end] codon-table.11	45030.5	280342	40551.9	321745	144911	7143.33	101072
MH0457_GL0265018  [gene]  locus=scaffold172861_1:2744:4672:+ [Complete] codon-table.11	254338	590189	42261.3	205331	38384.8	167716	149074
MH0458_GL0182669  [gene]  locus=scaffold11737_1:3:2831:+ [Lack 5'-end] codon-table.11	11727.7	18084.1	14499.6	388282	31707	NA	48638.3
N013A_GL0045648  [gene]  locus=scaffold59469_1:5039:6394:+ [Complete] codon-table.11	9685.03	20748.5	9895.51	6156.59	12749.9	3934.68	8176.84
N037A_GL0039670  [gene]  locus=scaffold64774_4:1589:2587:+ [Complete] codon-table.11	49797	259013	326294	88409	142316	11235.7	51215.1
N042A_GL0053817  [gene]  locus=scaffold9989_8:2:1852:+ [Lack both ends] codon-table.11	NA	NA	NA	2970.04	NA	NA	2103.41
N047A_GL0082718  [gene]  locus=scaffold16829_1:3:629:+ [Lack both ends] codon-table.11	NA	17355.7	NA	29382.5	14928.1	9696.24	10382.3
N056A_GL0035389  [gene]  locus=scaffold30873_1:2:2623:+ [Lack both ends] codon-table.11	29473.9	81085.2	37277.3	37435.7	16383.6	91322.8	48358.9
N075A_GL0045434  [gene]  locus=scaffold58069_1:31041:32744:+ [Complete] codon-table.11	26494.8	18252	NA	23151.2	14123.3	18072.4	30819.7
N083A_GL0014387  [gene]  locus=scaffold37881_5:423:971:+ [Lack 3'-end] codon-table.11	196640	253701	70387.1	187131	273106	143447	134140
N085A_GL0063783  [gene]  locus=scaffold31864_1:65431:67551:+ [Complete] codon-table.11	23102.2	23247.3	31638.2	17310.7	13157.1	18298.7	36473.6
N087A_GL0036390  [gene]  locus=scaffold16724_4:3:179:- [Lack 3'-end] codon-table.11	9979.4	13103.2	26611	6279.31	17413.9	NA	10788
N103A_GL0062765  [gene]  locus=scaffold880_3:1:1335:- [Lack both ends] codon-table.11	13905.1	28970.7	NA	NA	NA	NA	5749.02
NLF002_GL0035223  [gene]  locus=scaffold15474_15:2470:3759:- [Complete] codon-table.11	235034	225509	231437	301339	186133	155557	188115
NLF005_GL0042379  [gene]  locus=scaffold1430_1:1335:2741:+ [Complete] codon-table.11	NA	1631.47	NA	2799.88	2029.27	1382.95	1714.5
NLF007_GL0039190  [gene]  locus=scaffold8041_2:2:439:+ [Lack 5'-end] codon-table.11	25288.4	16998.5	20428.1	20893.1	20869.2	NA	15577.8
NLF007_GL0074228  [gene]  locus=scaffold2130_11:1:711:- [Lack both ends] codon-table.11	58186.6	34816.1	113946	31362.6	64561.8	NA	50530.5
NLM022_GL0077515  [gene]  locus=scaffold34328_1:125:592:- [Complete] codon-table.11	78811	NA	NA	NA	NA	667.633	74114
NLM026_GL0105071  [gene]  locus=scaffold75453_1:71536:71976:- [Complete] codon-table.11	NA	7506.25	3707.54	2449.95	8383.95	4765.17	4221.52
NLM027_GL0038172  [gene]  locus=scaffold37890_1:3:1232:- [Lack 3'-end] codon-table.11	NA	NA	NA	NA	7731.01	NA	NA
NLM027_GL0076654  [gene]  locus=scaffold17706_6:678:2063:+ [Lack 3'-end] codon-table.11	NA	9101.36	NA	26439.7	10869	3567.18	4901.13
NLM031_GL0025221  [gene]  locus=scaffold6775_4:5605:6264:- [Lack 5'-end] codon-table.11	193929	163944	154370	142676	217050	NA	166601
NLM031_GL0047477  [gene]  locus=scaffold73_2:4302:5276:+ [Complete] codon-table.11	195361	171760	139198	259862	175473	12099.2	166133
NLM031_GL0097197  [gene]  locus=scaffold8839_5:2079:2525:- [Complete] codon-table.11	NA	NA	NA	NA	8149.7	NA	7592.2
NLM032_GL0042211  [gene]  locus=scaffold40471_1:3:1007:+ [Lack both ends] codon-table.11	NA	NA	NA	NA	NA	1927.55	5583.11
NOF010_GL0020186  [gene]  locus=scaffold31144_9:9533:10819:+ [Complete] codon-table.11	82868.3	44394.3	56054.4	19076.8	19384.8	8633.03	50864.7
NOF013_GL0054476  [gene]  locus=scaffold73_15:848:1882:+ [Complete] codon-table.11	40561.9	83511.1	116280	37122.7	51284.7	13352.3	35903.5
NOF013_GL0069648  [gene]  locus=scaffold16332_1:19979:22459:- [Complete] codon-table.11	NA	22420.1	22474.5	NA	19213.9	NA	21554.3
NOF013_GL0079114  [gene]  locus=scaffold117_2:8796:10484:- [Complete] codon-table.11	21702.7	NA	NA	NA	NA	NA	26525
NOM002_GL0026844  [gene]  locus=scaffold161_1:62097:63602:- [Complete] codon-table.11	NA	15602.2	45047.3	7445.61	12782.5	2310.79	10524.7
NOM025_GL0058808  [gene]  locus=C314341_1:14:865:- [Lack 5'-end] codon-table.11	31206.2	NA	NA	NA	NA	NA	6222.43
NOM026_GL0021166  [gene]  locus=scaffold561_3:257:1495:- [Complete] codon-table.11	NA	NA	NA	9773.54	6436.41	12029.1	13718.8
O2.CD1-0-PT_GL0025396  [gene]  locus=scaffold38686_1:21897:23297:+ [Complete] codon-table.11	8822.32	35956.3	NA	15988	21184.3	NA	12561.3
O2.CD1-0-PT_GL0035189  [gene]  locus=scaffold22966_2:37077:38744:+ [Complete] codon-table.11	NA	13214.9	12704.5	9374.63	11356.1	NA	NA
O2.CD1-0-PT_GL0040017  [gene]  locus=scaffold37187_2:3203:4537:- [Complete] codon-table.11	1.12936e+06	671493	378144	1.47297e+06	874259	604731	822042
O2.CD1-0-PT_GL0077912  [gene]  locus=scaffold36701_1:30669:32339:+ [Complete] codon-table.11	NA	NA	NA	4917.06	NA	NA	NA
O2.CD2-0-PT_GL0002067  [gene]  locus=scaffold19893_1:27789:28412:- [Complete] codon-table.11	NA	NA	NA	NA	NA	23388.6	NA
O2.CD2-0_GL0019958  [gene]  locus=scaffold22829_4:68:820:- [Lack 5'-end] codon-table.11	NA	NA	NA	NA	57186.8	NA	1447.56
O2.CD2-0_GL0067511  [gene]  locus=scaffold45855_1:9636:11693:+ [Complete] codon-table.11	NA	17964.6	39103.5	NA	20368.2	NA	NA
O2.CD3-0-PT_GL0064000  [gene]  locus=scaffold24092_1:3016:4671:- [Lack 5'-end] codon-table.11	164669	149648	267649	98327.3	151777	63759.6	143664
O2.CD3-0-PT_GL0107880  [gene]  locus=scaffold157_1:962:1594:+ [Complete] codon-table.11	44224.6	58680.7	43118.6	82927.5	53631.2	20177.2	33340.9
O2.CD3-0-PT_GL0115878  [gene]  locus=scaffold78670_1:949:2013:- [Complete] codon-table.11	NA	13329.8	8574.9	19477.7	11639.4	2412.2	10750.9
O2.CD3-0-PT_GL0160447  [gene]  locus=scaffold9643_2:1931:2809:+ [Lack 3'-end] codon-table.11	NA	13960.4	NA	2642.63	NA	NA	5297.5
O2.CD3-0-PT_GL0171651  [gene]  locus=scaffold65255_1:3:1379:- [Lack 3'-end] codon-table.11	64411.4	176083	50421.8	579072	199659	205699	92139.2
O2.CD3-0-PT_GL0189461  [gene]  locus=scaffold9536_2:7486:8223:- [Complete] codon-table.11	22106.8	32450.3	25158.3	49012.2	48204.1	32478.9	29157.1
O2.UC1-0_GL0025713  [gene]  locus=scaffold9252_4:2:691:+ [Lack 5'-end] codon-table.11	11138.4	9912	41527.3	13995	16365.9	NA	10919.3
O2.UC1-1_GL0131701  [gene]  locus=scaffold82711_1:31200:33155:+ [Complete] codon-table.11	11658.4	NA	NA	NA	NA	NA	12535.8
O2.UC1-2_GL0017058  [gene]  locus=scaffold82159_2:3439:3630:- [Lack 5'-end] codon-table.11	14659.3	89388.9	233926	29526.9	NA	NA	34724.5
O2.UC1-2_GL0091686  [gene]  locus=scaffold109306_1:3:1544:- [Lack 3'-end] codon-table.11	15599.3	6227.69	58131.3	20495.6	39408.9	7023.49	NA
O2.UC1-2_GL0162923  [gene]  locus=scaffold63816_2:606:1442:- [Complete] codon-table.11	1506.61	4040.2	4232.42	4437.54	5310.01	3825.31	5138.93
O2.UC11-2_GL0001946  [gene]  locus=scaffold977_1:3:635:+ [Lack both ends] codon-table.11	263211	794794	788394	314867	801577	18515.6	326978
O2.UC11-2_GL0030688  [gene]  locus=scaffold6013_5:2:1186:+ [Lack 5'-end] codon-table.11	13450.3	8221.73	5040.94	16274.1	9286.27	4925.99	8668.51
O2.UC11-2_GL0032512  [gene]  locus=scaffold5696_9:6840:8399:- [Complete] codon-table.11	55416.3	110179	68236.4	80235.2	97198.8	44839	59783.7
O2.UC12-1_GL0156190  [gene]  locus=scaffold857_1:305:1000:- [Lack 5'-end] codon-table.11	80380.5	171147	267507	136541	162809	57154.8	105240
O2.UC12-2_GL0031978  [gene]  locus=scaffold65141_3:2:517:- [Lack both ends] codon-table.11	18350.2	13554.6	NA	8660.27	45834.2	6326.06	17897.1
O2.UC14-1_GL0150373  [gene]  locus=scaffold6734_8:2:460:+ [Lack 5'-end] codon-table.11	91727.7	302142	415560	40908.4	291744	22384.8	58832.8
O2.UC15-0_GL0002094  [gene]  locus=scaffold32150_7:11763:12281:- [Complete] codon-table.11	NA	20862.7	12221.6	40071.4	21074.6	3774.43	14527.3
O2.UC15-0_GL0067565  [gene]  locus=scaffold5060_3:311:1699:- [Complete] codon-table.11	NA	NA	NA	NA	NA	9950	4649.73
O2.UC15-1_GL0007728  [gene]  locus=scaffold10424_3:2002:3489:+ [Complete] codon-table.11	NA	12298.3	NA	28048.4	29754.4	11106.9	NA
O2.UC15-2_GL0047446  [gene]  locus=scaffold56362_7:1:1311:+ [Lack 5'-end] codon-table.11	NA	78856.8	23663.8	122772	86074.6	46906.6	54434
O2.UC16-1_GL0056008  [gene]  locus=scaffold88453_1:1418:3256:- [Complete] codon-table.11	60935.5	81718.1	33315.7	361276	56376.2	NA	72394
O2.UC18-1_GL0114520  [gene]  locus=scaffold101950_2:43:834:- [Complete] codon-table.11	NA	NA	NA	13855.8	5716.15	NA	NA
O2.UC19-1_GL0020611  [gene]  locus=scaffold28245_1:37223:38803:+ [Complete] codon-table.11	55845	156658	NA	NA	NA	3565.93	25605.3
O2.UC19-1_GL0085858  [gene]  locus=scaffold26485_1:6729:9701:+ [Complete] codon-table.11	NA	NA	30019.2	14701.2	17560.4	4385.29	25015.4
O2.UC19-2_GL0006821  [gene]  locus=scaffold6127_4:203:889:- [Lack 5'-end] codon-table.11	36386.1	21189.9	19206.2	106350	45565.4	NA	14414.9
O2.UC2-1_GL0049255  [gene]  locus=scaffold22737_11:1253:3361:- [Complete] codon-table.11	NA	17289	NA	NA	17445.1	NA	NA
O2.UC20-1_GL0070924  [gene]  locus=scaffold23194_5:496:966:+ [Complete] codon-table.11	74149.8	190202	94636.2	246366	177002	87565.9	113188
O2.UC24-2_GL0011763  [gene]  locus=scaffold29407_3:3612:3968:- [Lack 5'-end] codon-table.11	NA	3522.59	2052.51	1674.56	4998.25	NA	NA
O2.UC26-0_GL0053006  [gene]  locus=scaffold3007_2:3070:6489:+ [Complete] codon-table.11	NA	NA	NA	105125	NA	NA	31115.4
O2.UC26-1_GL0012827  [gene]  locus=C257449_1:3:545:+ [Lack both ends] codon-table.11	41611.6	46307.1	23927.4	66305.6	116729	47400.6	30568.5
O2.UC28-0_GL0177312  [gene]  locus=scaffold65304_3:2:730:+ [Lack 5'-end] codon-table.11	8479.26	16255.6	5985.28	4830.09	NA	10903.7	20290.3
O2.UC30-0_GL0018369  [gene]  locus=scaffold40181_4:136:783:+ [Complete] codon-table.11	35817.6	30866.4	29414.6	38863.3	33763.9	5310.18	32536.6
O2.UC30-1_GL0110213  [gene]  locus=scaffold2757_1:822:1211:+ [Lack 3'-end] codon-table.11	NA	18569.5	7296.72	61787.8	27241	6606.33	4379.55
O2.UC30-1_GL0166449  [gene]  locus=scaffold64447_1:19190:20671:+ [Complete] codon-table.11	68081.9	75420.2	9125.91	NA	44630.9	NA	161085
O2.UC31-0_GL0061897  [gene]  locus=scaffold19473_8:3:464:- [Lack 3'-end] codon-table.11	NA	51033.4	25244	17895.9	NA	NA	5834.89
O2.UC31-1_GL0168987  [gene]  locus=scaffold50024_1:15758:18457:+ [Lack 3'-end] codon-table.11	NA	NA	NA	NA	NA	2794.35	NA
O2.UC31-2_GL0055008  [gene]  locus=scaffold82536_2:3:884:- [Lack 3'-end] codon-table.11	NA	7594.35	11595	3961.89	14153.6	NA	5664.6
O2.UC31-2_GL0087171  [gene]  locus=scaffold5663_1:3:827:+ [Lack both ends] codon-table.11	47349.5	94823.8	54719	118602	120986	24957.8	63622.4
O2.UC32-1_GL0136691  [gene]  locus=scaffold20400_1:122:1324:+ [Complete] codon-table.11	NA	14740	NA	NA	26053.6	NA	17122.2
O2.UC35-0_GL0052172  [gene]  locus=scaffold27738_1:2:640:+ [Lack 5'-end] codon-table.11	NA	24202.7	7523.28	14002.9	41363.3	22197.2	19304.4
O2.UC36-0_GL0035328  [gene]  locus=scaffold47791_1:3:842:+ [Lack 5'-end] codon-table.11	NA	20354.1	NA	24504.5	30033.2	34621	22642.5
O2.UC36-0_GL0164929  [gene]  locus=scaffold73327_1:226:1101:+ [Complete] codon-table.11	7724.05	25612.2	9579.07	38633.6	31137.6	15332.6	14316.6
O2.UC36-2_GL0005928  [gene]  locus=scaffold259_3:2:403:+ [Lack 5'-end] codon-table.11	7599.86	8358.31	4093.43	17733.5	7334.92	4825.97	NA
O2.UC37-0_GL0035042  [gene]  locus=scaffold33152_3:45:1079:- [Lack 5'-end] codon-table.11	NA	21474.5	34758.8	41672.3	24976.4	NA	16628.5
O2.UC4-2_GL0090005  [gene]  locus=scaffold56944_3:857:1201:- [Lack 5'-end] codon-table.11	NA	11889.2	NA	NA	NA	NA	20390.6
O2.UC40-1_GL0085028  [gene]  locus=scaffold34768_5:428:571:- [Lack 5'-end] codon-table.11	NA	NA	16952.7	45468.6	8631.56	NA	8435.55
O2.UC41-1_GL0029795  [gene]  locus=scaffold119114_1:88692:92732:+ [Complete] codon-table.11	52466.5	44785.3	NA	44494.8	NA	NA	NA
O2.UC41-1_GL0179726  [gene]  locus=scaffold44543_1:10814:11914:- [Complete] codon-table.11	4851.61	14068.5	37069.4	18592.5	7734.13	4781.72	10823.4
O2.UC41-1_GL0201535  [gene]  locus=scaffold759_1:52158:53645:- [Complete] codon-table.11	NA	19898.4	4370.29	25582.1	15006.9	NA	5304.92
O2.UC43-0_GL0054854  [gene]  locus=scaffold27235_2:260:598:+ [Complete] codon-table.11	19664	56863.9	93979.2	NA	27962.9	NA	NA
O2.UC43-2_GL0054545  [gene]  locus=scaffold30891_1:380:838:+ [Lack 3'-end] codon-table.11	NA	NA	6330.89	NA	8447.34	NA	NA
O2.UC44-2_GL0124520  [gene]  locus=scaffold128039_3:7615:8040:+ [Complete] codon-table.11	NA	NA	NA	NA	9976.4	3577.18	3008.49
O2.UC46-1_GL0055169  [gene]  locus=scaffold31283_1:117:1112:+ [Complete] codon-table.11	95773.1	89038.3	NA	88154.8	97124.8	94289.3	137907
O2.UC47-2_GL0070787  [gene]  locus=scaffold88929_1:246:1034:+ [Lack 3'-end] codon-table.11	59487.4	38964.5	NA	50037	24820.7	14176.8	22883.4
O2.UC47-2_GL0084279  [gene]  locus=scaffold28917_11:870:3122:+ [Complete] codon-table.11	853578	380944	145142	478422	395508	561036	416547
O2.UC48-0_GL0016850  [gene]  locus=C1983239_1:178:771:- [Lack 5'-end] codon-table.11	99102.2	169162	23443.2	303813	130672	289316	118666
O2.UC48-0_GL0026589  [gene]  locus=scaffold58230_15:1379:2599:+ [Complete] codon-table.11	10673.4	NA	NA	41217.8	29309.8	13220.7	18386.2
O2.UC48-0_GL0067553  [gene]  locus=scaffold8660_1:1008:2018:+ [Complete] codon-table.11	990230	2.24644e+06	2.07761e+06	1.44369e+06	1.63096e+06	532731	1.4024e+06
O2.UC48-0_GL0194480  [gene]  locus=scaffold46303_16:4742:5920:+ [Complete] codon-table.11	40826.9	18293.8	NA	45798	19118.1	26299.4	26673.9
O2.UC48-0_GL0229333  [gene]  locus=scaffold95831_2:933:1892:- [Lack 5'-end] codon-table.11	125649	134242	112193	101412	121376	87909.5	107657
O2.UC48-1_GL0066693  [gene]  locus=scaffold807_8:2:1423:+ [Lack 5'-end] codon-table.11	10323.2	19456.6	8416.73	17181	6540.45	NA	9015.73
O2.UC48-1_GL0138538  [gene]  locus=scaffold48939_1:1:504:- [Lack 3'-end] codon-table.11	NA	15460.8	12254.9	19411.7	22123.1	12372.1	16290.9
O2.UC48-1_GL0231303  [gene]  locus=scaffold60979_1:3:413:+ [Lack 5'-end] codon-table.11	416328	705133	673843	1.54858e+06	650327	369421	464205
O2.UC49-0_GL0126417  [gene]  locus=scaffold5427_12:2311:3324:- [Complete] codon-table.11	NA	1695.18	NA	4985.19	11173.8	8788.92	4148.67
O2.UC53-0_GL0121379  [gene]  locus=scaffold26227_1:2241:3575:+ [Complete] codon-table.11	214087	97517.4	42392	90960	121316	73858.6	157633
O2.UC53-0_GL0250574  [gene]  locus=scaffold4411_10:1111:1488:- [Lack 5'-end] codon-table.11	NA	32724.4	17475.2	15567.9	21627.5	5253.53	11686.2
O2.UC54-0_GL0038963  [gene]  locus=scaffold62400_1:229:1119:+ [Lack 3'-end] codon-table.11	210107	228786	195518	273488	336230	34890.9	146380
O2.UC54-0_GL0073016  [gene]  locus=scaffold7919_8:3:1292:+ [Lack 5'-end] codon-table.11	NA	NA	NA	5814.14	3815.64	NA	2818.43
O2.UC57-2_GL0024171  [gene]  locus=scaffold412_1:631:1656:- [Complete] codon-table.11	NA	NA	4119.02	10538.4	7515.79	NA	2767.47
O2.UC58-0_GL0077866  [gene]  locus=scaffold53845_9:868:1119:+ [Complete] codon-table.11	NA	15490	NA	NA	2890.74	NA	6789.36
O2.UC59-2_GL0054788  [gene]  locus=scaffold8998_6:7973:9085:+ [Complete] codon-table.11	111116	106085	32446.6	157368	49742.2	31128.3	53903.2
O2.UC60-0_GL0127173  [gene]  locus=scaffold107957_2:1:1002:- [Lack both ends] codon-table.11	37027.2	165208	175049	35109.9	101170	32013	46927
O2.UC7-1_GL0032402  [gene]  locus=scaffold20375_1:25996:27078:+ [Complete] codon-table.11	51946.4	30417	19849.3	97156.5	48987.1	46045.8	37069
O2.UC8-0_GL0128475  [gene]  locus=scaffold38165_1:10949:12439:+ [Complete] codon-table.11	NA	5085.79	NA	NA	NA	NA	NA
O2.UC8-2_GL0036959  [gene]  locus=scaffold29584_5:231:1061:+ [Complete] codon-table.11	11129.7	5802.63	10046.2	7660.99	11726.5	5098.69	6916.24
SZEY-103A_GL0074872  [gene]  locus=scaffold49884_1:3:1661:+ [Lack 5'-end] codon-table.11	6595.44	55691.2	131792	12953.7	53305.2	NA	13037.1
SZEY-10A_GL0053902  [gene]  locus=scaffold2590_13:1777:2517:- [Complete] codon-table.11	4384.88	19980.8	28014.3	5144.07	6525.35	NA	5679.47
SZEY-26A_GL0072743  [gene]  locus=scaffold6401_6:835:1680:+ [Lack 3'-end] codon-table.11	NA	NA	NA	NA	4525.17	NA	NA
SZEY-39A_GL0038601  [gene]  locus=scaffold32813_2:579:3326:- [Complete] codon-table.11	NA	12483.6	NA	NA	17267.9	NA	6415.76
SZEY-39A_GL0071586  [gene]  locus=scaffold11122_1:37724:39217:+ [Complete] codon-table.11	11977.7	85269.2	61926.3	24998.3	56977.6	6418.85	9728.52
SZEY-41A_GL0005116  [gene]  locus=scaffold18605_3:7400:8170:- [Lack 5'-end] codon-table.11	151841	552022	245964	484128	222686	25165.6	264849
SZEY-60A_GL0070586  [gene]  locus=scaffold14735_2:6316:8151:- [Complete] codon-table.11	20435.3	NA	NA	NA	NA	NA	NA
SZEY-73A_GL0029963  [gene]  locus=scaffold13191_1:23039:25753:+ [Complete] codon-table.11	NA	NA	NA	NA	8724.05	NA	NA
SZEY-78A_GL0051543  [gene]  locus=scaffold8780_7:224:811:+ [Complete] codon-table.11	NA	18824	NA	12993	NA	2259.78	5625.19
SZEY-97A_GL0059457  [gene]  locus=scaffold31668_2:829:2760:+ [Complete] codon-table.11	341097	542377	1.14024e+06	564384	776770	224399	435441
T2D-106A_GL0068179  [gene]  locus=scaffold30378_6:1:594:+ [Lack both ends] codon-table.11	11300.4	NA	NA	NA	NA	NA	4970.57
T2D-107A_GL0011039  [gene]  locus=scaffold68535_1:4283:5677:- [Complete] codon-table.11	19688.1	17821.3	18794.5	NA	24472.8	NA	13691
T2D-107A_GL0032354  [gene]  locus=scaffold35611_8:2:2476:+ [Lack 5'-end] codon-table.11	582613	782401	448397	851263	945130	454619	672403
T2D-108A_GL0033294  [gene]  locus=scaffold52552_3:3:962:+ [Lack 5'-end] codon-table.11	NA	NA	8060.52	NA	12017.8	NA	NA
T2D-10A_GL0084588  [gene]  locus=scaffold6103_2:226:798:- [Complete] codon-table.11	NA	42122.1	NA	8803.06	3541.92	NA	13518
T2D-110A_GL0017208  [gene]  locus=scaffold872_23:1:999:- [Lack 3'-end] codon-table.11	4055.58	4176.45	NA	NA	NA	1454.87	NA
T2D-118A_GL0013346  [gene]  locus=scaffold9806_4:2:250:+ [Lack 5'-end] codon-table.11	6199.77	8796.97	NA	NA	NA	6668.39	12812.7
T2D-11A_GL0016640  [gene]  locus=scaffold147_14:1800:3308:- [Complete] codon-table.11	49713.9	160080	40132.8	103476	56771.7	36815.2	49704.8
T2D-11A_GL0017526  [gene]  locus=scaffold52170_1:1:1050:- [Lack 3'-end] codon-table.11	NA	NA	7003.93	NA	NA	2811.03	5699.47
T2D-11A_GL0156644  [gene]  locus=scaffold50467_3:2442:3203:+ [Lack 3'-end] codon-table.11	NA	13235	NA	6317.41	NA	NA	NA
T2D-11A_GL0159105  [gene]  locus=scaffold61490_1:8:385:- [Complete] codon-table.11	396968	900461	152729	311478	213026	576683	566923
T2D-123A_GL0023222  [gene]  locus=scaffold24425_1:179:1294:- [Complete] codon-table.11	48169.9	NA	48604.8	NA	112864	NA	44239.2
T2D-123A_GL0138790  [gene]  locus=scaffold19857_3:734:1993:- [Complete] codon-table.11	20951.6	14206.8	20663.1	9559.44	16217.5	15865.5	30378.2
T2D-135A_GL0016494  [gene]  locus=scaffold45518_1:8617:9804:- [Complete] codon-table.11	NA	NA	NA	7437.87	NA	NA	NA
T2D-135A_GL0085761  [gene]  locus=scaffold47830_1:49179:51464:+ [Complete] codon-table.11	59840.8	78621.1	124746	9489.65	38601.7	4277.57	16228.4
T2D-135A_GL0119532  [gene]  locus=scaffold41848_1:1341:3551:- [Lack 5'-end] codon-table.11	9827.56	15900.9	10620.8	11946.3	7433.32	8210.2	17818.3
T2D-140A_GL0042284  [gene]  locus=scaffold6191_1:3:491:- [Lack 3'-end] codon-table.11	NA	8145.95	8604.56	NA	16029.6	NA	NA
T2D-140A_GL0094866  [gene]  locus=C762853_1:1:765:- [Lack both ends] codon-table.11	NA	10859.7	7400.54	NA	26661.2	NA	10665
T2D-140A_GL0097992  [gene]  locus=scaffold29999_3:931:1374:- [Lack 5'-end] codon-table.11	9162.18	34666.5	NA	54242.9	53697.1	NA	19088.7
T2D-146A_GL0061511  [gene]  locus=scaffold20765_1:5832:7682:+ [Complete] codon-table.11	NA	NA	74975.6	12342.1	17778	NA	12955.7
T2D-14A_GL0076289  [gene]  locus=scaffold48826_1:6881:8530:- [Complete] codon-table.11	49459	28563.1	218633	75100.4	118874	76472.3	116929
T2D-155A_GL0006484  [gene]  locus=scaffold31716_2:1194:2222:- [Complete] codon-table.11	437112	529242	382992	120304	323554	NA	266203
T2D-15A_GL0140265  [gene]  locus=scaffold74731_2:3:1514:- [Lack both ends] codon-table.11	NA	4689.99	NA	4637.25	3933.15	NA	4035.14
T2D-163A_GL0074891  [gene]  locus=scaffold14924_1:41640:42410:+ [Lack 3'-end] codon-table.11	4294.11	8216.85	2230.71	3528.79	4042.62	NA	4529.33
T2D-19A_GL0112307  [gene]  locus=scaffold7059_4:345:1268:- [Complete] codon-table.11	35874.6	61869.8	227017	64700.2	117707	NA	58700
T2D-22A_GL0004582  [gene]  locus=scaffold46622_2:403:909:- [Lack 5'-end] codon-table.11	19185.5	NA	NA	NA	NA	2231.22	NA
T2D-29A_GL0087222  [gene]  locus=scaffold24600_5:2:877:+ [Lack both ends] codon-table.11	NA	11188.8	17267.5	10340.3	14193.2	8465.02	11391.3
T2D-2A_GL0042169  [gene]  locus=scaffold14499_1:2:682:- [Lack both ends] codon-table.11	NA	NA	5289.9	NA	NA	NA	3952.64
T2D-31A_GL0017629  [gene]  locus=scaffold43016_1:26597:27706:- [Complete] codon-table.11	NA	5757.21	NA	7655.19	NA	4419.26	NA
T2D-31A_GL0068466  [gene]  locus=scaffold33525_3:41:829:+ [Lack 3'-end] codon-table.11	66335	88516.8	92677.1	113903	63725.9	37288.9	55001.5
T2D-31A_GL0076719  [gene]  locus=scaffold30865_1:89728:90939:+ [Complete] codon-table.11	24546.2	57171.4	20634.5	69328.3	71344	30480.7	48611.1
T2D-33A_GL0090503  [gene]  locus=scaffold6372_3:45352:46635:+ [Complete] codon-table.11	46922.4	49012.3	23961.8	43374.2	49106.6	19425.1	34532.4
T2D-33A_GL0119486  [gene]  locus=scaffold59439_1:9071:10363:- [Complete] codon-table.11	15439.3	36942.2	10303.1	41318.1	30094.2	15506.9	22284.4
T2D-45A_GL0141028  [gene]  locus=scaffold20076_3:531:2255:- [Lack 5'-end] codon-table.11	14227.3	86679.8	112634	13986.3	49341.6	3778.77	17880.8
T2D-45A_GL0146717  [gene]  locus=scaffold26083_1:371:766:- [Lack 5'-end] codon-table.11	152653	68272.2	46094.8	68078.7	142939	NA	44370.8
T2D-47A_GL0144718  [gene]  locus=scaffold28318_4:286:852:- [Lack 5'-end] codon-table.11	208555	352135	133772	205377	272011	2759.08	86124.5
T2D-49A_GL0055834  [gene]  locus=scaffold6378_3:3:2552:+ [Lack 5'-end] codon-table.11	NA	15670.4	NA	23989.2	9484.48	3302.62	4940.81
T2D-51A_GL0053560  [gene]  locus=C1065656_1:87:1436:- [Complete] codon-table.11	NA	NA	NA	NA	9189.52	5243.65	11691.8
T2D-51A_GL0153538  [gene]  locus=scaffold31800_5:95:679:+ [Complete] codon-table.11	779993	735165	1.57243e+06	633548	862423	217240	702261
